Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0,0.05090332031,2.89994812,9.174728394,9.622262278
0.003997802,0.04850769043,2.90234375,9.160369873,9.609283451
0.008026123,0.04371643066,2.89755249,9.174728394,9.621505218
0.012054443,0.04371643066,2.89515686,9.198669434,9.643617771
0.016082763,0.04132080078,2.89755249,9.217819214,9.66259328
0.020111084,0.01260375977,2.890365601,9.095718384,9.54392294
0.024139404,-0.01852416992,2.914306641,8.853897095,9.321213446
0.028137207,-0.02810668945,2.911911011,8.705459595,9.179599255
0.032165527,-0.0209197998,2.9190979,8.679122925,9.156896032
0.036193847,0.0078125,2.90473938,8.758132935,9.227267439
0.040222168,0.0365447998,2.88319397,8.942489624,9.395864179
0.04421997,0.06527709961,2.811355591,9.138809204,9.561684738
0.048248291,0.09638977051,2.662918091,9.289642334,9.66425778
0.052246093,0.1442718506,2.536026001,9.450057983,9.785491206
0.056274414,0.1897735596,2.428283691,9.560195923,9.865592824
0.060302734,0.2232818604,2.327728271,9.620056152,9.900184547
0.064300537,0.2496185303,2.255905151,9.620056152,9.88417411
0.068328857,0.2615966797,2.198440552,9.593719482,9.845863456
0.07232666,0.2759552002,2.157745361,9.553009033,9.797550607
0.07635498,0.2783508301,2.133804321,9.507522583,9.748004192
0.080352783,0.2759552002,2.129013062,9.459640503,9.700187954
0.084381103,0.2783508301,2.148162842,9.404571533,9.650805588
0.088378906,0.2687835693,2.164932251,9.342315674,9.593645731
0.092407226,0.2376556396,2.179290771,9.268096924,9.523833737
0.096405029,0.2017364502,2.205627441,9.193878174,9.456896208
0.100402832,0.1777954102,2.229568481,9.150787354,9.42016433
0.104431152,0.1658325195,2.267883301,9.150787354,9.4290882
0.108428955,0.1658325195,2.310974121,9.169937134,9.458110216
0.112457275,0.1634368896,2.339706421,9.181915283,9.476734987
0.116455078,0.1610412598,2.330123901,9.179519653,9.472011019
0.12045288,0.1371002197,2.320556641,9.189086914,9.478559907
0.124481201,0.1203308105,2.313369751,9.208251953,9.495159985
0.128479004,0.1275177002,2.303787231,9.222610474,9.506852282
0.132507324,0.1299133301,2.306182861,9.232192993,9.516761231
0.136505127,0.1299133301,2.325332642,9.236984253,9.526065686
0.140502929,0.1083679199,2.368438721,9.232192993,9.53176967
0.14453125,0.05569458008,2.416320801,9.220214844,9.531740128
0.148529052,0.01499938965,2.459411621,9.198669434,9.521788165
0.152526855,-0.006561279297,2.488143921,9.126846313,9.459927423
0.156555175,-0.04246520996,2.54800415,9.040649414,9.392947901
0.160552978,-0.0807800293,2.603057861,8.966430664,9.336986371
0.164550781,-0.1095123291,2.67489624,8.966430664,9.35756067
0.168548584,-0.1071166992,2.72756958,9.035858154,9.439165344
0.172576904,-0.1071166992,2.78024292,9.148391724,9.562128205
